onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.326	ISI	0	0	 0.000
 1.326	 8.287	INSTR1	0	0	 0.000
 9.613	 3.346	ISI	0	0	 0.000
 12.959	 60.249	CONV1	0	0	 0.000
 73.208	 4.686	ISI	0	0	 0.000
 77.894	 8.292	INSTR1	0	0	 0.000
 86.186	 3.348	ISI	0	0	 0.000
 89.534	 60.248	CONV2	0	0	 0.000
 149.782	 4.685	ISI	0	0	 0.000
 154.467	 8.284	INSTR1	0	0	 0.000
 162.751	 3.347	ISI	0	0	 0.000
 166.098	 60.248	CONV1	0	0	 0.000
 226.346	 4.686	ISI	0	0	 0.000
 231.032	 8.279	INSTR1	0	0	 0.000
 239.311	 3.347	ISI	0	0	 0.000
 242.658	 60.248	CONV2	0	0	 0.000
 302.906	 4.686	ISI	0	0	 0.000
 307.592	 8.288	INSTR1	0	0	 0.000
 315.880	 3.348	ISI	0	0	 0.000
 319.228	 60.248	CONV1	0	0	 0.000
 379.476	 4.686	ISI	0	0	 0.000
 384.162	 8.305	INSTR1	0	0	 0.000
 392.467	 3.346	ISI	0	0	 0.000
 395.813	 60.248	CONV2	0	0	 0.000
 456.061	 3.344	ISI	0	0	 0.000
