onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.320	ISI	0	0	 0.000
 1.320	 8.369	INSTR1	0	0	 0.000
 9.689	 3.346	ISI	0	0	 0.000
 13.035	 60.248	CONV1	0	0	 0.000
 73.283	 4.579	ISI	0	0	 0.000
 77.862	 8.363	INSTR1	0	0	 0.000
 86.225	 3.348	ISI	0	0	 0.000
 89.573	 60.248	CONV2	0	0	 0.000
 149.821	 4.641	ISI	0	0	 0.000
 154.462	 8.305	INSTR1	0	0	 0.000
 162.767	 3.348	ISI	0	0	 0.000
 166.115	 60.248	CONV1	0	0	 0.000
 226.363	 4.686	ISI	0	0	 0.000
 231.049	 8.247	INSTR1	0	0	 0.000
 239.296	 3.347	ISI	0	0	 0.000
 242.643	 60.248	CONV2	0	0	 0.000
 302.891	 4.686	ISI	0	0	 0.000
 307.577	 8.267	INSTR1	0	0	 0.000
 315.844	 3.347	ISI	0	0	 0.000
 319.191	 60.248	CONV1	0	0	 0.000
 379.439	 4.686	ISI	0	0	 0.000
 384.125	 8.262	INSTR1	0	0	 0.000
 392.387	 3.348	ISI	0	0	 0.000
 395.735	 60.247	CONV2	0	0	 0.000
 455.982	 3.343	ISI	0	0	 0.000
