onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.292	INSTR1	0	0	 0.000
 9.631	 3.348	ISI	0	0	 0.000
 12.979	 60.248	CONV1	0	0	 0.000
 73.227	 4.686	ISI	0	0	 0.000
 77.913	 8.281	INSTR1	0	0	 0.000
 86.194	 3.347	ISI	0	0	 0.000
 89.541	 60.248	CONV2	0	0	 0.000
 149.789	 4.686	ISI	0	0	 0.000
 154.475	 8.309	INSTR1	0	0	 0.000
 162.784	 3.333	ISI	0	0	 0.000
 166.117	 60.246	CONV1	0	0	 0.000
 226.363	 4.686	ISI	0	0	 0.000
 231.049	 8.342	INSTR1	0	0	 0.000
 239.391	 3.291	ISI	0	0	 0.000
 242.682	 60.199	CONV2	0	0	 0.000
 302.881	 4.678	ISI	0	0	 0.000
 307.559	 8.368	INSTR1	0	0	 0.000
 315.927	 3.256	ISI	0	0	 0.000
 319.183	 60.207	CONV1	0	0	 0.000
 379.390	 4.624	ISI	0	0	 0.000
 384.014	 8.367	INSTR1	0	0	 0.000
 392.381	 3.295	ISI	0	0	 0.000
 395.676	 60.249	CONV2	0	0	 0.000
 455.925	 3.343	ISI	0	0	 0.000
