onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.368	INSTR1	0	0	 0.000
 9.707	 3.277	ISI	0	0	 0.000
 12.984	 60.231	CONV1	0	0	 0.000
 73.215	 4.639	ISI	0	0	 0.000
 77.854	 8.368	INSTR1	0	0	 0.000
 86.222	 3.298	ISI	0	0	 0.000
 89.520	 60.248	CONV2	0	0	 0.000
 149.768	 4.644	ISI	0	0	 0.000
 154.412	 8.369	INSTR1	0	0	 0.000
 162.781	 3.341	ISI	0	0	 0.000
 166.122	 60.248	CONV1	0	0	 0.000
 226.370	 4.612	ISI	0	0	 0.000
 230.982	 8.368	INSTR1	0	0	 0.000
 239.350	 3.347	ISI	0	0	 0.000
 242.697	 60.249	CONV2	0	0	 0.000
 302.946	 4.629	ISI	0	0	 0.000
 307.575	 8.347	INSTR1	0	0	 0.000
 315.922	 3.347	ISI	0	0	 0.000
 319.269	 60.249	CONV1	0	0	 0.000
 379.518	 4.671	ISI	0	0	 0.000
 384.189	 8.340	INSTR1	0	0	 0.000
 392.529	 3.347	ISI	0	0	 0.000
 395.876	 60.248	CONV2	0	0	 0.000
 456.124	 3.344	ISI	0	0	 0.000
