onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.338	ISI	0	0	 0.000
 1.338	 8.271	INSTR1	0	0	 0.000
 9.609	 3.347	ISI	0	0	 0.000
 12.956	 60.248	CONV1	0	0	 0.000
 73.204	 4.686	ISI	0	0	 0.000
 77.890	 8.290	INSTR1	0	0	 0.000
 86.180	 3.347	ISI	0	0	 0.000
 89.527	 60.248	CONV2	0	0	 0.000
 149.775	 4.687	ISI	0	0	 0.000
 154.462	 8.362	INSTR1	0	0	 0.000
 162.824	 3.347	ISI	0	0	 0.000
 166.171	 60.249	CONV1	0	0	 0.000
 226.420	 4.686	ISI	0	0	 0.000
 231.106	 8.275	INSTR1	0	0	 0.000
 239.381	 3.348	ISI	0	0	 0.000
 242.729	 60.248	CONV2	0	0	 0.000
 302.977	 4.685	ISI	0	0	 0.000
 307.662	 8.299	INSTR1	0	0	 0.000
 315.961	 60.248	CONV1	0	0	 0.000
 376.209	 4.673	ISI	0	0	 0.000
 380.882	 8.368	INSTR1	0	0	 0.000
 389.250	 3.338	ISI	0	0	 0.000
 392.588	 60.248	CONV2	0	0	 0.000
 452.836	 3.344	ISI	0	0	 0.000
