onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.300	INSTR1	0	0	 0.000
 9.639	 3.348	ISI	0	0	 0.000
 12.987	 60.248	CONV1	0	0	 0.000
 73.235	 4.686	ISI	0	0	 0.000
 77.921	 8.294	INSTR1	0	0	 0.000
 86.215	 3.347	ISI	0	0	 0.000
 89.562	 60.248	CONV2	0	0	 0.000
 149.810	 4.686	ISI	0	0	 0.000
 154.496	 8.308	INSTR1	0	0	 0.000
 162.804	 3.347	ISI	0	0	 0.000
 166.151	 60.248	CONV1	0	0	 0.000
 226.399	 4.686	ISI	0	0	 0.000
 231.085	 8.299	INSTR1	0	0	 0.000
 239.384	 3.347	ISI	0	0	 0.000
 242.731	 60.248	CONV2	0	0	 0.000
 302.979	 4.686	ISI	0	0	 0.000
 307.665	 8.317	INSTR1	0	0	 0.000
 315.982	 3.338	ISI	0	0	 0.000
 319.320	 60.243	CONV1	0	0	 0.000
 379.563	 4.687	ISI	0	0	 0.000
 384.250	 8.351	INSTR1	0	0	 0.000
 392.601	 3.291	ISI	0	0	 0.000
 395.892	 60.246	CONV2	0	0	 0.000
 456.138	 3.344	ISI	0	0	 0.000
