onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.367	INSTR1	0	0	 0.000
 9.706	 3.268	ISI	0	0	 0.000
 12.974	 60.248	CONV1	0	0	 0.000
 73.222	 4.682	ISI	0	0	 0.000
 77.904	 8.368	INSTR1	0	0	 0.000
 86.272	 3.283	ISI	0	0	 0.000
 89.555	 60.244	CONV2	0	0	 0.000
 149.799	 4.605	ISI	0	0	 0.000
 154.404	 8.369	INSTR1	0	0	 0.000
 162.773	 3.311	ISI	0	0	 0.000
 166.084	 60.248	CONV1	0	0	 0.000
 226.332	 4.610	ISI	0	0	 0.000
 230.942	 8.369	INSTR1	0	0	 0.000
 239.311	 3.347	ISI	0	0	 0.000
 242.658	 60.248	CONV2	0	0	 0.000
 302.906	 4.686	ISI	0	0	 0.000
 307.592	 8.367	INSTR1	0	0	 0.000
 315.959	 60.249	CONV1	0	0	 0.000
 376.208	 4.686	ISI	0	0	 0.000
 380.894	 8.286	INSTR1	0	0	 0.000
 389.180	 3.347	ISI	0	0	 0.000
 392.527	 60.248	CONV2	0	0	 0.000
 452.775	 3.344	ISI	0	0	 0.000
