onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.297	INSTR1	0	0	 0.000
 9.636	 3.334	ISI	0	0	 0.000
 12.970	 60.237	CONV1	0	0	 0.000
 73.207	 4.686	ISI	0	0	 0.000
 77.893	 8.350	INSTR1	0	0	 0.000
 86.243	 3.286	ISI	0	0	 0.000
 89.529	 60.246	CONV2	0	0	 0.000
 149.775	 4.685	ISI	0	0	 0.000
 154.460	 8.368	INSTR1	0	0	 0.000
 162.828	 3.273	ISI	0	0	 0.000
 166.101	 60.231	CONV1	0	0	 0.000
 226.332	 4.611	ISI	0	0	 0.000
 230.943	 8.368	INSTR1	0	0	 0.000
 239.311	 3.294	ISI	0	0	 0.000
 242.605	 60.247	CONV2	0	0	 0.000
 302.852	 4.608	ISI	0	0	 0.000
 307.460	 8.368	INSTR1	0	0	 0.000
 315.828	 3.337	ISI	0	0	 0.000
 319.165	 60.248	CONV1	0	0	 0.000
 379.413	 4.676	ISI	0	0	 0.000
 384.089	 8.367	INSTR1	0	0	 0.000
 392.456	 3.347	ISI	0	0	 0.000
 395.803	 60.249	CONV2	0	0	 0.000
 456.052	 3.343	ISI	0	0	 0.000
