onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.346	INSTR1	0	0	 0.000
 9.685	 3.289	ISI	0	0	 0.000
 12.974	 60.222	CONV1	0	0	 0.000
 73.196	 4.685	ISI	0	0	 0.000
 77.881	 8.368	INSTR1	0	0	 0.000
 86.249	 3.270	ISI	0	0	 0.000
 89.519	 60.219	CONV2	0	0	 0.000
 149.738	 4.643	ISI	0	0	 0.000
 154.381	 8.368	INSTR1	0	0	 0.000
 162.749	 3.322	ISI	0	0	 0.000
 166.071	 60.249	CONV1	0	0	 0.000
 226.320	 4.625	ISI	0	0	 0.000
 230.945	 8.367	INSTR1	0	0	 0.000
 239.312	 3.330	ISI	0	0	 0.000
 242.642	 60.248	CONV2	0	0	 0.000
 302.890	 4.616	ISI	0	0	 0.000
 307.506	 8.369	INSTR1	0	0	 0.000
 315.875	 3.347	ISI	0	0	 0.000
 319.222	 60.247	CONV1	0	0	 0.000
 379.469	 4.620	ISI	0	0	 0.000
 384.089	 8.363	INSTR1	0	0	 0.000
 392.452	 3.347	ISI	0	0	 0.000
 395.799	 60.249	CONV2	0	0	 0.000
 456.048	 3.343	ISI	0	0	 0.000
