onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.291	INSTR1	0	0	 0.000
 9.630	 3.348	ISI	0	0	 0.000
 12.978	 60.248	CONV1	0	0	 0.000
 73.226	 4.685	ISI	0	0	 0.000
 77.911	 8.280	INSTR1	0	0	 0.000
 86.191	 3.347	ISI	0	0	 0.000
 89.538	 60.247	CONV2	0	0	 0.000
 149.785	 4.687	ISI	0	0	 0.000
 154.472	 8.319	INSTR1	0	0	 0.000
 162.791	 3.310	ISI	0	0	 0.000
 166.101	 60.225	CONV1	0	0	 0.000
 226.326	 4.686	ISI	0	0	 0.000
 231.012	 8.367	INSTR1	0	0	 0.000
 239.379	 3.275	ISI	0	0	 0.000
 242.654	 60.216	CONV2	0	0	 0.000
 302.870	 4.650	ISI	0	0	 0.000
 307.520	 8.368	INSTR1	0	0	 0.000
 315.888	 3.265	ISI	0	0	 0.000
 319.153	 60.248	CONV1	0	0	 0.000
 379.401	 4.622	ISI	0	0	 0.000
 384.023	 8.368	INSTR1	0	0	 0.000
 392.391	 3.314	ISI	0	0	 0.000
 395.705	 60.249	CONV2	0	0	 0.000
 455.954	 3.343	ISI	0	0	 0.000
