onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.338	ISI	0	0	 0.000
 1.338	 8.292	INSTR1	0	0	 0.000
 9.630	 3.347	ISI	0	0	 0.000
 12.977	 60.248	CONV1	0	0	 0.000
 73.225	 4.686	ISI	0	0	 0.000
 77.911	 8.330	INSTR1	0	0	 0.000
 86.241	 3.347	ISI	0	0	 0.000
 89.588	 60.249	CONV2	0	0	 0.000
 149.837	 4.686	ISI	0	0	 0.000
 154.523	 8.299	INSTR1	0	0	 0.000
 162.822	 3.323	ISI	0	0	 0.000
 166.145	 60.234	CONV1	0	0	 0.000
 226.379	 4.686	ISI	0	0	 0.000
 231.065	 8.357	INSTR1	0	0	 0.000
 239.422	 3.266	ISI	0	0	 0.000
 242.688	 60.248	CONV2	0	0	 0.000
 302.936	 4.686	ISI	0	0	 0.000
 307.622	 8.367	INSTR1	0	0	 0.000
 315.989	 60.248	CONV1	0	0	 0.000
 376.237	 4.618	ISI	0	0	 0.000
 380.855	 8.347	INSTR1	0	0	 0.000
 389.202	 3.346	ISI	0	0	 0.000
 392.548	 60.249	CONV2	0	0	 0.000
 452.797	 3.344	ISI	0	0	 0.000
