onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.338	ISI	0	0	 0.000
 1.338	 8.364	INSTR1	0	0	 0.000
 9.702	 3.267	ISI	0	0	 0.000
 12.969	 60.205	CONV1	0	0	 0.000
 73.174	 4.675	ISI	0	0	 0.000
 77.849	 8.369	INSTR1	0	0	 0.000
 86.218	 3.271	ISI	0	0	 0.000
 89.489	 60.220	CONV2	0	0	 0.000
 149.709	 4.625	ISI	0	0	 0.000
 154.334	 8.367	INSTR1	0	0	 0.000
 162.701	 3.287	ISI	0	0	 0.000
 165.988	 60.249	CONV1	0	0	 0.000
 226.237	 4.657	ISI	0	0	 0.000
 230.894	 8.367	INSTR1	0	0	 0.000
 239.261	 3.344	ISI	0	0	 0.000
 242.605	 60.248	CONV2	0	0	 0.000
 302.853	 4.600	ISI	0	0	 0.000
 307.453	 8.368	INSTR1	0	0	 0.000
 315.821	 3.347	ISI	0	0	 0.000
 319.168	 60.248	CONV1	0	0	 0.000
 379.416	 4.615	ISI	0	0	 0.000
 384.031	 8.351	INSTR1	0	0	 0.000
 392.382	 3.347	ISI	0	0	 0.000
 395.729	 60.248	CONV2	0	0	 0.000
 455.977	 3.343	ISI	0	0	 0.000
