onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.368	INSTR1	0	0	 0.000
 9.707	 3.260	ISI	0	0	 0.000
 12.967	 60.222	CONV1	0	0	 0.000
 73.189	 4.622	ISI	0	0	 0.000
 77.811	 8.368	INSTR1	0	0	 0.000
 86.179	 3.271	ISI	0	0	 0.000
 89.450	 60.248	CONV2	0	0	 0.000
 149.698	 4.603	ISI	0	0	 0.000
 154.301	 8.368	INSTR1	0	0	 0.000
 162.669	 3.315	ISI	0	0	 0.000
 165.984	 60.248	CONV1	0	0	 0.000
 226.232	 4.577	ISI	0	0	 0.000
 230.809	 8.368	INSTR1	0	0	 0.000
 239.177	 3.347	ISI	0	0	 0.000
 242.524	 60.250	CONV2	0	0	 0.000
 302.774	 4.592	ISI	0	0	 0.000
 307.366	 8.367	INSTR1	0	0	 0.000
 315.733	 3.348	ISI	0	0	 0.000
 319.081	 60.248	CONV1	0	0	 0.000
 379.329	 4.637	ISI	0	0	 0.000
 383.966	 8.327	INSTR1	0	0	 0.000
 392.293	 3.347	ISI	0	0	 0.000
 395.640	 60.248	CONV2	0	0	 0.000
 455.888	 3.342	ISI	0	0	 0.000
