onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.367	INSTR1	0	0	 0.000
 9.706	 3.343	ISI	0	0	 0.000
 13.049	 60.249	CONV1	0	0	 0.000
 73.298	 4.683	ISI	0	0	 0.000
 77.981	 8.368	INSTR1	0	0	 0.000
 86.349	 3.347	ISI	0	0	 0.000
 89.696	 60.248	CONV2	0	0	 0.000
 149.944	 4.635	ISI	0	0	 0.000
 154.579	 8.347	INSTR1	0	0	 0.000
 162.926	 3.347	ISI	0	0	 0.000
 166.273	 60.249	CONV1	0	0	 0.000
 226.522	 4.664	ISI	0	0	 0.000
 231.186	 8.323	INSTR1	0	0	 0.000
 239.509	 3.348	ISI	0	0	 0.000
 242.857	 60.247	CONV2	0	0	 0.000
 303.104	 8.366	INSTR1	0	0	 0.000
 311.470	 60.216	CONV1	0	0	 0.000
 371.686	 4.636	ISI	0	0	 0.000
 376.322	 8.369	INSTR1	0	0	 0.000
 384.691	 3.282	ISI	0	0	 0.000
 387.973	 60.247	CONV2	0	0	 0.000
 448.220	 1.338	ISI	0	0	 0.000
