onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.292	INSTR1	0	0	 0.000
 9.631	 3.348	ISI	0	0	 0.000
 12.979	 60.248	CONV1	0	0	 0.000
 73.227	 4.685	ISI	0	0	 0.000
 77.912	 8.283	INSTR1	0	0	 0.000
 86.195	 3.347	ISI	0	0	 0.000
 89.542	 60.248	CONV2	0	0	 0.000
 149.790	 4.686	ISI	0	0	 0.000
 154.476	 8.368	INSTR1	0	0	 0.000
 162.844	 3.347	ISI	0	0	 0.000
 166.191	 60.248	CONV1	0	0	 0.000
 226.439	 4.686	ISI	0	0	 0.000
 231.125	 8.284	INSTR1	0	0	 0.000
 239.409	 3.348	ISI	0	0	 0.000
 242.757	 60.248	CONV2	0	0	 0.000
 303.005	 4.686	ISI	0	0	 0.000
 307.691	 8.330	INSTR1	0	0	 0.000
 316.021	 3.304	ISI	0	0	 0.000
 319.325	 60.211	CONV1	0	0	 0.000
 379.536	 4.687	ISI	0	0	 0.000
 384.223	 8.367	INSTR1	0	0	 0.000
 392.590	 3.343	ISI	0	0	 0.000
 395.933	 60.233	CONV2	0	0	 0.000
 456.166	 3.344	ISI	0	0	 0.000
