onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.338	ISI	0	0	 0.000
 1.338	 8.369	INSTR1	0	0	 0.000
 9.707	 3.240	ISI	0	0	 0.000
 12.947	 60.198	CONV1	0	0	 0.000
 73.145	 4.641	ISI	0	0	 0.000
 77.786	 8.368	INSTR1	0	0	 0.000
 86.154	 3.252	ISI	0	0	 0.000
 89.406	 60.248	CONV2	0	0	 0.000
 149.654	 4.590	ISI	0	0	 0.000
 154.244	 8.368	INSTR1	0	0	 0.000
 162.612	 3.310	ISI	0	0	 0.000
 165.922	 60.248	CONV1	0	0	 0.000
 226.170	 4.606	ISI	0	0	 0.000
 230.776	 8.368	INSTR1	0	0	 0.000
 239.144	 3.347	ISI	0	0	 0.000
 242.491	 60.248	CONV2	0	0	 0.000
 302.739	 4.597	ISI	0	0	 0.000
 307.336	 8.367	INSTR1	0	0	 0.000
 315.703	 3.347	ISI	0	0	 0.000
 319.050	 60.249	CONV1	0	0	 0.000
 379.299	 4.638	ISI	0	0	 0.000
 383.937	 8.328	INSTR1	0	0	 0.000
 392.265	 3.347	ISI	0	0	 0.000
 395.612	 60.247	CONV2	0	0	 0.000
 455.859	 3.342	ISI	0	0	 0.000
