onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.288	INSTR1	0	0	 0.000
 9.627	 3.348	ISI	0	0	 0.000
 12.975	 60.248	CONV1	0	0	 0.000
 73.223	 4.685	ISI	0	0	 0.000
 77.908	 8.300	INSTR1	0	0	 0.000
 86.208	 3.332	ISI	0	0	 0.000
 89.540	 60.247	CONV2	0	0	 0.000
 149.787	 4.687	ISI	0	0	 0.000
 154.474	 8.364	INSTR1	0	0	 0.000
 162.838	 3.280	ISI	0	0	 0.000
 166.118	 60.196	CONV1	0	0	 0.000
 226.314	 4.672	ISI	0	0	 0.000
 230.986	 8.368	INSTR1	0	0	 0.000
 239.354	 3.280	ISI	0	0	 0.000
 242.634	 60.220	CONV2	0	0	 0.000
 302.854	 4.635	ISI	0	0	 0.000
 307.489	 8.368	INSTR1	0	0	 0.000
 315.857	 3.295	ISI	0	0	 0.000
 319.152	 60.248	CONV1	0	0	 0.000
 379.400	 4.686	ISI	0	0	 0.000
 384.086	 8.367	INSTR1	0	0	 0.000
 392.453	 3.346	ISI	0	0	 0.000
 395.799	 60.248	CONV2	0	0	 0.000
 456.047	 3.343	ISI	0	0	 0.000
