onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.317	INSTR1	0	0	 0.000
 9.656	 3.306	ISI	0	0	 0.000
 12.962	 60.207	CONV1	0	0	 0.000
 73.169	 4.685	ISI	0	0	 0.000
 77.854	 8.368	INSTR1	0	0	 0.000
 86.222	 3.272	ISI	0	0	 0.000
 89.494	 60.248	CONV2	0	0	 0.000
 149.742	 4.686	ISI	0	0	 0.000
 154.428	 8.368	INSTR1	0	0	 0.000
 162.796	 3.261	ISI	0	0	 0.000
 166.057	 60.248	CONV1	0	0	 0.000
 226.305	 4.581	ISI	0	0	 0.000
 230.886	 8.367	INSTR1	0	0	 0.000
 239.253	 3.303	ISI	0	0	 0.000
 242.556	 60.249	CONV2	0	0	 0.000
 302.805	 4.598	ISI	0	0	 0.000
 307.403	 8.367	INSTR1	0	0	 0.000
 315.770	 3.348	ISI	0	0	 0.000
 319.118	 60.248	CONV1	0	0	 0.000
 379.366	 4.630	ISI	0	0	 0.000
 383.996	 8.369	INSTR1	0	0	 0.000
 392.365	 3.347	ISI	0	0	 0.000
 395.712	 60.248	CONV2	0	0	 0.000
 455.960	 3.343	ISI	0	0	 0.000
