onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.367	INSTR1	0	0	 0.000
 9.706	 3.340	ISI	0	0	 0.000
 13.046	 60.249	CONV1	0	0	 0.000
 73.295	 4.598	ISI	0	0	 0.000
 77.893	 8.368	INSTR1	0	0	 0.000
 86.261	 3.347	ISI	0	0	 0.000
 89.608	 60.247	CONV2	0	0	 0.000
 149.855	 4.638	ISI	0	0	 0.000
 154.493	 8.364	INSTR1	0	0	 0.000
 162.857	 3.346	ISI	0	0	 0.000
 166.203	 60.249	CONV1	0	0	 0.000
 226.452	 4.671	ISI	0	0	 0.000
 231.123	 8.297	INSTR1	0	0	 0.000
 239.420	 3.348	ISI	0	0	 0.000
 242.768	 60.248	CONV2	0	0	 0.000
 303.016	 4.686	ISI	0	0	 0.000
 307.702	 8.294	INSTR1	0	0	 0.000
 315.996	 3.347	ISI	0	0	 0.000
 319.343	 60.248	CONV1	0	0	 0.000
 379.591	 4.687	ISI	0	0	 0.000
 384.278	 8.314	INSTR1	0	0	 0.000
 392.592	 3.347	ISI	0	0	 0.000
 395.939	 60.249	CONV2	0	0	 0.000
 456.188	 3.344	ISI	0	0	 0.000
