onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.286	INSTR1	0	0	 0.000
 9.625	 3.347	ISI	0	0	 0.000
 12.972	 60.249	CONV1	0	0	 0.000
 73.221	 4.686	ISI	0	0	 0.000
 77.907	 8.335	INSTR1	0	0	 0.000
 86.242	 3.348	ISI	0	0	 0.000
 89.590	 60.248	CONV2	0	0	 0.000
 149.838	 4.686	ISI	0	0	 0.000
 154.524	 8.332	INSTR1	0	0	 0.000
 162.856	 3.303	ISI	0	0	 0.000
 166.159	 60.234	CONV1	0	0	 0.000
 226.393	 4.686	ISI	0	0	 0.000
 231.079	 8.368	INSTR1	0	0	 0.000
 239.447	 3.278	ISI	0	0	 0.000
 242.725	 60.210	CONV2	0	0	 0.000
 302.935	 4.651	ISI	0	0	 0.000
 307.586	 8.368	INSTR1	0	0	 0.000
 315.954	 3.281	ISI	0	0	 0.000
 319.235	 60.246	CONV1	0	0	 0.000
 379.481	 4.620	ISI	0	0	 0.000
 384.101	 8.368	INSTR1	0	0	 0.000
 392.469	 3.317	ISI	0	0	 0.000
 395.786	 60.249	CONV2	0	0	 0.000
 456.035	 3.343	ISI	0	0	 0.000
