onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.340	INSTR1	0	0	 0.000
 9.679	 3.347	ISI	0	0	 0.000
 13.026	 60.248	CONV1	0	0	 0.000
 73.274	 4.687	ISI	0	0	 0.000
 77.961	 8.252	INSTR1	0	0	 0.000
 86.213	 3.347	ISI	0	0	 0.000
 89.560	 60.249	CONV2	0	0	 0.000
 149.809	 4.686	ISI	0	0	 0.000
 154.495	 8.282	INSTR1	0	0	 0.000
 162.777	 3.348	ISI	0	0	 0.000
 166.125	 60.248	CONV1	0	0	 0.000
 226.373	 4.686	ISI	0	0	 0.000
 231.059	 8.354	INSTR1	0	0	 0.000
 239.413	 3.347	ISI	0	0	 0.000
 242.760	 60.247	CONV2	0	0	 0.000
 303.007	 8.369	INSTR1	0	0	 0.000
 311.376	 60.248	CONV1	0	0	 0.000
 371.624	 4.583	ISI	0	0	 0.000
 376.207	 8.368	INSTR1	0	0	 0.000
 384.575	 3.347	ISI	0	0	 0.000
 387.922	 60.248	CONV2	0	0	 0.000
 448.170	 1.338	ISI	0	0	 0.000
