onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.339	ISI	0	0	 0.000
 1.339	 8.368	INSTR1	0	0	 0.000
 9.707	 3.269	ISI	0	0	 0.000
 12.976	 60.247	CONV1	0	0	 0.000
 73.223	 4.617	ISI	0	0	 0.000
 77.840	 8.367	INSTR1	0	0	 0.000
 86.207	 3.308	ISI	0	0	 0.000
 89.515	 60.249	CONV2	0	0	 0.000
 149.764	 4.605	ISI	0	0	 0.000
 154.369	 8.367	INSTR1	0	0	 0.000
 162.736	 3.348	ISI	0	0	 0.000
 166.084	 60.248	CONV1	0	0	 0.000
 226.332	 4.655	ISI	0	0	 0.000
 230.987	 8.369	INSTR1	0	0	 0.000
 239.356	 3.347	ISI	0	0	 0.000
 242.703	 60.247	CONV2	0	0	 0.000
 302.950	 4.634	ISI	0	0	 0.000
 307.584	 8.331	INSTR1	0	0	 0.000
 315.915	 3.348	ISI	0	0	 0.000
 319.263	 60.248	CONV1	0	0	 0.000
 379.511	 4.682	ISI	0	0	 0.000
 384.193	 8.283	INSTR1	0	0	 0.000
 392.476	 3.347	ISI	0	0	 0.000
 395.823	 60.248	CONV2	0	0	 0.000
 456.071	 3.344	ISI	0	0	 0.000
